PC1	PC2	PC3	PC4	ETHNICITY
0.000725426	-0.0058821	0.00215348	0.00448842	NA
-0.0319917	0.0116992	0.00869645	0.00798116	NA
0.0177795	0.00795223	0.0069344	0.0141837	NA
-0.0119475	-0.00846895	0.0036945	-0.0116901	NA
0.0169236	-0.00283603	0.00472881	0.00864522	NA
-0.0296168	0.00152316	0.00869009	-0.0134097	NA
0.00599599	-0.000203223	-0.00356538	-0.000217516	NA
-0.00991024	0.00993815	-0.00111782	0.00606781	NA
0.00762319	-0.00951946	-0.0165916	-0.00300255	NA
0.0224474	0.00394719	0.000296483	0.0113174	NA
-0.0249942	0.00298274	0.00847374	-0.0145374	NA
0.0175367	-0.00108477	5.46E-06	-0.0103994	NA
-0.0173523	-0.00252645	-0.00648907	-0.0154802	NA
0.0142536	0.00320103	0.00469385	-0.0169345	NA
0.00718696	0.000579169	-0.0108122	-0.015536	NA
0.00935117	-0.0176456	0.00803383	0.00030356	NA
0.00839529	-0.00231235	0.00301168	0.0131003	NA
0.00908861	-0.016215	-0.0315435	0.00569137	NA
0.0113018	-0.00605869	-0.0081014	0.00101162	NA
0.0217769	0.00926812	0.00426141	-0.00276304	NA
-0.0091563	-0.0044261	-0.00041267	0.00701444	NA
0.0115516	0.00915713	0.00720193	-0.0166325	NA
-0.00265669	0.00306964	0.00773849	-0.00854318	NA
0.00326343	-0.0258831	-0.000146263	0.00821475	NA
0.0120981	0.0059752	0.00402795	-0.000877233	NA
0.0166637	0.00602407	0.00269707	0.0111768	NA
0.0126529	0.00981752	-0.00559223	-0.00829492	NA
0.0212197	0.00930957	0.00043437	-0.00465948	NA
0.0111067	-0.00556466	-0.0143102	0.000759601	NA
0.019522	0.00434152	0.00746342	-0.000872763	NA
0.0159559	0.00468903	0.00946633	0.00936329	NA
0.0182295	0.00958812	0.00532413	0.00593338	NA
-0.0119516	-0.00403819	-0.0226142	-0.00243895	NA
0.00200032	-0.0130836	-0.00423082	0.00943388	NA
0.0194491	0.00745202	0.00169352	-0.0188397	NA
0.0031709	-0.0135943	-0.00255837	0.0116117	NA
0.0254395	0.0157626	0.00604128	0.0152347	NA
-0.0137636	0.00478832	-0.00808021	0.0111546	NA
-0.0109393	-0.00287207	0.00084868	0.00941759	NA
0.0148413	0.00546817	0.00522131	0.0109897	NA
-0.0135068	-0.0100615	-0.00413888	-0.00096488	NA
0.0091646	-0.00265151	-0.00938587	-0.00661635	NA
0.0181927	0.00718916	0.00381572	0.00518907	NA
0.0159767	0.000906343	-0.00526643	-0.00986291	NA
0.00792584	0.00294974	-0.00850213	-0.00488335	NA
0.00954695	-0.0240165	0.0113434	-0.0020887	NA
-0.0121617	0.00317932	0.00759349	0.00567664	NA
0.0167873	0.00976937	0.00478587	-0.00969965	NA
0.012801	-0.00221394	0.00353992	0.0075375	NA
0.0203235	-0.000335084	0.0107135	0.00636878	NA
0.0216069	0.0111933	0.00876952	0.0126434	NA
-0.00544814	0.00207965	0.00633365	0.0019427	NA
0.0171597	0.00294614	0.00601866	-0.0048849	NA
0.0132459	0.0067079	-0.00478155	-0.0117034	NA
0.00368732	-0.0204239	0.000603813	0.00421185	NA
0.00932015	-0.00408108	0.00805109	0.00459697	NA
-0.0233845	0.000477714	-0.00400444	0.000140451	NA
0.0229287	0.00481405	0.0127489	-0.00209703	NA
0.0120119	0.0043366	0.00881697	-0.005	NA
-0.0255744	0.0037937	-0.000434806	0.0112667	1
-0.0141176	-0.00036625	-0.00498017	-0.00920695	1
-0.0153347	-0.00571033	-0.00598854	-0.00268708	1
-0.00912005	0.001232	-0.00362249	0.00262812	1
-0.0353175	0.0129341	0.0121679	0.020878	1
-0.0396526	0.0113179	-0.00424837	-0.00774989	1
-0.0241308	0.00885596	-0.000562929	-0.00170277	1
-0.0251972	0.00492637	0.00449026	-0.0120463	1
-0.0235796	-0.00102833	0.00308253	-0.00216792	1
-0.0276141	-4.86E-05	0.0016949	-0.0188223	1
-0.0219043	-0.00134124	0.000202215	-0.016849	1
-0.0293996	0.00711006	-0.000333626	0.00633449	1
-0.0139083	-0.000255971	-0.00340319	-0.0120697	1
0.00723267	-0.0148317	0.00322718	-0.00824174	1
-0.0259728	-0.00184511	0.000713755	-0.00648681	1
-0.0283377	0.00259896	0.000260091	0.00949995	1
-0.0161456	0.000168889	0.0019147	0.00103144	1
-0.0170445	-0.00429965	-0.00835853	0.0112712	1
-0.00985898	0.0102938	0.00390434	0.00341498	1
-0.0206221	-0.000835107	-0.000767475	0.00945535	1
-0.0304599	0.00166156	0.00375347	0.0132825	1
-0.0181239	-0.0015782	-0.00745472	0.00666614	1
-0.0110923	-0.00755142	-0.00277064	0.0252178	1
-0.0331979	0.00327465	0.00452218	-0.00427363	1
-0.0159078	0.00184843	0.00350227	0.00347588	1
-0.0245957	-7.88E-05	0.00768225	-0.010551	1
-0.0200128	0.00118956	-0.0101579	0.0164035	1
-0.0137248	0.000234581	-0.00351536	-0.0074881	1
-0.0271829	0.0001952	0.00237088	0.00732114	1
-0.033031	0.00204498	0.00222415	-0.000191348	1
-0.00764258	-0.00145337	-0.00134536	-0.0050647	1
-0.0296849	0.007263	0.000556941	-0.00750319	1
-0.0322484	0.0042457	0.00640633	-0.00125529	1
