prob_strata	p_bact
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
BACT	1
