year	malinc	high	low
1995	32.37549276	41.20269555	23.54828998
1996	27.51465745	35.54397931	19.48533559
1997	27.46424948	36.13629032	18.79220865
1998	31.13310748	40.19768077	22.06853419
1999	28.76712133	35.97735988	21.55688279
2000	25.69510501	31.968424	19.42178602
2001	18.67351356	25.0037353	12.34329183
2002	19.6917218	27.89944187	11.48400172
2003	24.53332347	31.00408375	18.06256319
2004	12.92779952	17.54475151	8.310847539
2005	11.09155728	15.05336316	7.129751398
2006	6.809123229	10.18215559	3.436090868
2007	2.560224388	4.782088263	0.338360513
2008	4.855812474	10.13098278	0
2009	0.985548335	5.495309395	0
2010	1.602345651	7.175169271	0
2011	2.249303631	8.29710962	0
2012	3.067451183	8.010620411	0
2013	3.031624475	9.878909169	0
2014	2.259959774	7.178295494	0
