PC1	PC2	PC3	PC4	PC5	PC6	PLATFORM	ETHNICITY
0.007	-0.0049	-0.0039	-0.0146	-0.0074	0.002	AFFY	NA
0.0121	0.007	0.0026	0.0011	0	-0.009	AFFY	NA
0.0025	-0.0114	-0.0028	-0.0221	-0.01	-0.0215	AFFY	NA
-0.0156	-0.0386	0.0268	0.0088	-0.0043	0.0009	AFFY	NA
0.0283	0.0153	0.0002	0.0018	-0.0025	-0.0022	AFFY	NA
-0.0043	0.0064	-0.0246	-0.0215	-0.0175	-0.0124	AFFY	NA
0.0015	-0.0019	-0.0016	-0.0117	-0.0061	-0.0183	AFFY	NA
-0.0079	-0.0141	0.0016	-0.0042	-0.0005	0.0045	AFFY	NA
0.0046	-0.0009	-0.0039	-0.0092	-0.0089	-0.0063	AFFY	NA
-0.0067	-0.005	0.0064	-0.0085	-0.008	-0.0219	AFFY	NA
0.0284	0.0193	0.0064	0.0233	0.0029	0.0195	AFFY	NA
-0.0247	-0.0092	-0.0255	0.0033	-0.0143	0.0235	AFFY	NA
0.0209	0.0073	-0.0033	-0.0053	0.0004	0.0008	AFFY	NA
-0.0177	-0.0407	0.0391	0.0218	-0.0003	-0.0093	AFFY	NA
0.0202	0.0069	0.0116	-0.017	0.0032	-0.0078	AFFY	NA
-0.0182	-0.0255	0.0159	0.0145	0.0046	-0.0036	AFFY	NA
0.0025	-0.0096	0.005	0.0046	0.003	0.007	AFFY	NA
0.0155	0.0126	0.0009	0.0052	-0.0034	0.0037	AFFY	NA
0.0137	0.0026	0.003	0.0108	0.0102	0.0334	AFFY	NA
0.0232	0.0099	0.0053	0.0041	-0.0003	-0.0035	AFFY	NA
0.0031	-0.0158	0.0197	0.0108	-0.0004	0.0045	AFFY	NA
0.0383	0.0061	0.0031	0.0259	0.0018	-0.0158	AFFY	NA
-0.0239	-0.0408	0.0324	0.0217	0.0016	-0.0049	AFFY	NA
0.0324	0.0136	0.0033	0.0053	0.0031	0.0025	AFFY	NA
0.0042	0.0034	0.0001	-0.0111	-0.0053	-0.0131	AFFY	NA
-0.0388	-0.0348	-0.0133	0.0566	0.0237	-0.0047	AFFY	NA
0.0146	0.0013	0.0008	-0.0057	-0.0003	0.0011	AFFY	NA
0.0077	-0.0023	-0.0044	-0.0095	0.0014	-0.0093	AFFY	NA
0.0211	0.0062	-0.0047	-0.0018	0.0029	0.0008	AFFY	NA
0.0171	0.0002	0.0148	0.006	0.0043	0.0042	AFFY	NA
0.0302	0.0091	0.0003	0.0074	-0.0013	-0.0037	AFFY	NA
-0.017	-0.0363	0.0281	0.0131	0.006	-0.0028	AFFY	NA
0.0243	0.0092	0.0012	-0.0011	0.0006	-0.0006	AFFY	NA
0.0029	-0.0092	-0.0025	-0.0302	0.006	-0.0014	AFFY	NA
0.0556	0.0366	0.0179	0.0288	-0.0019	0.0249	AFFY	NA
0.0348	0.0129	0.0018	0.0058	-0.0025	0.0003	AFFY	NA
-0.0186	-0.0315	0.0184	0.0046	-0.0018	-0.0052	AFFY	NA
0.0158	0.009	-0.0032	0.004	0.0027	-0.0028	AFFY	NA
-0.0212	-0.0378	0.0311	0.0093	-0.0007	-0.002	AFFY	NA
0.0279	0.0188	-0.0037	0.0013	0.004	0.003	AFFY	NA
-0.0107	-0.0245	0.0188	0.005	-0.0035	0.0081	AFFY	NA
0.0178	0.0046	-0.0032	-0.0058	-0.0041	-0.0092	AFFY	NA
-0.032	-0.0049	0.0123	0.0147	-0.0315	0.0057	AFFY	NA
0.0319	0.0132	0.0036	0.005	0.0191	0.0098	AFFY	NA
0.0206	0.0131	-0.0025	0.0021	0.0027	0.0037	AFFY	NA
-0.0027	-0.0033	-0.0129	-0.016	-0.003	-0.0061	AFFY	NA
0.0029	-0.0087	0.0024	-0.0053	-0.0045	0.003	AFFY	NA
0.0174	0.0053	0.0034	-0.006	-0.0039	-0.0062	AFFY	NA
0.0251	0.0154	0.0043	0.0081	0.0023	0.0007	AFFY	NA
0.026	0.0174	0.0032	0.0075	0.0214	0.0178	AFFY	NA
0.0161	0.0113	-0.0015	0.0072	0.0245	0.0441	AFFY	NA
-0.0126	-0.018	-0.0176	-0.0346	-0.0094	0.013	AFFY	NA
-0.0268	-0.0578	0.0459	0.0212	-0.0154	-0.0249	AFFY	NA
-0.0034	-0.0077	0.0058	0.0004	-0.006	0.0047	AFFY	NA
-0.0174	-0.0117	-0.0381	-0.017	0.0152	-0.012	AFFY	NA
0.033	0.0184	-0.0022	0.0116	0.0038	0.0056	AFFY	NA
0.0243	0.0178	0.0081	0.0092	0.0039	0.0211	AFFY	NA
-0.0012	-0.0162	0.0142	0.0106	0.0013	-0.0024	AFFY	NA
-0.0289	-0.0424	0.037	0.0224	0.001	0.0069	AFFY	NA
0.0174	0.0003	-0.009	0.02	-0.0157	-0.0116	AFFY	NA
0.0153	0.0035	0.0015	-0.0116	-0.011	-0.0212	AFFY	NA
-0.0155	-0.0222	-0.0157	-0.0274	-0.0173	-0.025	AFFY	NA
0.0316	0.019	0.0002	0.0128	-0.022	-0.005	AFFY	NA
-0.022	-0.0246	-0.0221	-0.0577	0.0184	0.0895	AFFY	NA
-0.0216	-0.0346	-0.0364	-0.0556	0.0017	0.0803	AFFY	NA
0.0306	0.0106	0.0005	0.0012	0.006	0.0035	AFFY	NA
0.0148	-0.0037	0.0064	-0.0029	0.0054	0.0048	AFFY	NA
-0.0076	-0.0222	-0.0203	-0.037	0.0151	0.0635	AFFY	NA
0.0387	0.0188	0.0043	0.0078	0.0226	-0.0319	AFFY	NA
