start_position	end_position	ensembl_gene_id	external_gene_name	gene_biotype	strand	mid	start	end
30369807	30383399	ENSG00000119801	YPEL5	protein_coding	1	30153737	30146941	30160533
30454397	30546596	ENSG00000213626	LBH	protein_coding	1	30277630.5	30231531	30323730
30670092	30867091	ENSG00000172954	LCLAT1	protein_coding	1	30545725.5	30447226	30644225
30945637	31043408	ENSG00000162949	CAPN13	protein_coding	-1	30673885.5	30820542	30722771
31133333	31378068	ENSG00000158089	GALNT14	protein_coding	-1	30788099.5	31155202	30910467
31395924	31456724	ENSG00000214711	CAPN14	protein_coding	-1	31142658	31233858	31173058
31456880	31492313	ENSG00000013016	EHD3	protein_coding	1	31251730.5	31234014	31269447
31557187	31637581	ENSG00000158125	XDH	protein_coding	-1	31294124	31414715	31334321
32090129	32236299	ENSG00000162959	MEMO1	protein_coding	-1	31791975	32011230	31865060
32092878	32264881	ENSG00000162961	DPY30	protein_coding	-1	31781807.5	32039812	31867809
32288680	32382706	ENSG00000021574	SPAST	protein_coding	1	32110624	32063611	32157637
32390933	32449448	ENSG00000152683	SLC30A6	protein_coding	1	32195121.5	32165864	32224379
32449522	32490923	ENSG00000091106	NLRC4	protein_coding	-1	32203752.5	32265854	32224453
32502979	32541663	ENSG00000119820	YIPF4	protein_coding	1	32297252	32277910	32316594
32582096	32843966	ENSG00000115760	BIRC6	protein_coding	1	32487963.5	32357028	32618899
32853099	33046118	ENSG00000018699	TTC27	protein_coding	1	32724541.5	32628032	32821051
33172039	33624576	ENSG00000049323	LTBP1	protein_coding	1	33173240.5	32946972	33399509
33661391	33789817	ENSG00000152689	RASGRP3	protein_coding	1	33500537	33436324	33564750
33808725	33824449	ENSG00000119812	FAM98A	protein_coding	-1	33575796	33599382	33583658
